-32.8321,151.3562,23211
-37.8739,145.0248,16903
-33.7333,151.0000,39284
-38.0997,145.1725,21976
-37.8936,145.0553,17909
-37.8000,144.9667,16055
-33.7827,151.0489,24131
-27.5433,153.2029,18002
-35.2835,149.1281,367752
-37.8421,145.0694,21965
-26.8035,153.1219,96305
-16.9237,145.7661,153075
-27.0846,152.9511,26341
-33.8833,151.1000,18224
-41.0558,145.9038,19972
-24.8662,152.3479,73747
-26.6844,153.0571,28774
-37.7667,144.9667,24896
-31.9652,141.4512,17456
-27.4679,153.0281,2780063
-37.9056,145.0028,23252
-37.8667,145.2833,23607
-33.7667,150.9167,46942
-33.9500,151.1167,19664
-38.0333,145.3500,50298
-37.9193,145.0530,30159
-37.9181,145.0354,17921
-36.7582,144.2802,103034
-33.7588,150.9929,36792
-33.4166,149.5806,36230
-35.7066,150.1754,17519
-28.2130,153.5363,15868
-33.9167,151.0333,34933
-37.5662,143.8496,111973
-37.8229,147.6104,17666
-37.6727,144.4383,24717
-33.8500,151.0333,37245
-33.8883,151.1227,23749
-37.7799,144.9228,15197
-30.5012,151.6655,21312
-27.3536,152.9685,15532
-26.6601,153.0995,18342
-37.9694,145.0481,23992
-33.9144,151.2490,28943
-33.7511,151.2889,21145
-33.5231,151.3133,16413
-12.4860,130.9833,33695
-25.2876,152.7694,52230
-33.8648,151.2077,25654
-33.9240,151.2275,15338
-27.6676,152.9249,15081
-27.3171,153.0310,16701
-27.2520,152.9923,20222
-27.2243,153.0207,21260
-27.4419,152.9386,16371
-37.7412,144.7363,24488
-37.8826,144.7003,37216
-27.6392,153.1094,345098
-27.5058,153.1024,15418
-33.8178,151.0035,26876
-37.8846,145.2954,27398
-34.9112,138.7073,72260
-32.0580,115.9181,34504
-33.7907,150.6693,22863
-37.8228,144.9643,22631
-37.8149,144.9505,15495
-27.9183,153.3328,16839
-37.8821,144.9821,15153
-37.8498,145.1190,15147
-37.7909,145.0939,21302
-37.8740,145.0425,22296
-37.9023,145.0173,16757
-27.6461,152.8596,19094
-27.9440,153.3981,18326
-37.7450,144.8005,37629
-33.4298,151.3714,346596
-37.9770,145.2587,24455
-33.7103,150.9510,27676
-37.6986,144.7863,15174
-33.7220,151.0461,18588
-37.6258,144.9255,24129
-33.9419,150.8717,15312
-37.8914,144.6237,20518
-31.8406,115.8955,18459
-32.0525,115.8878,19262
-33.7333,150.9328,16040
-33.8974,150.9345,21634
-33.9125,151.1028,24487
-33.9522,150.8995,15695
-33.7061,150.7094,15649
-33.9003,151.0556,24361
-33.8235,150.9461,23511
-31.7674,115.9694,24668
-27.5322,153.2289,16043
-27.6233,153.0479,16927
-33.9049,151.0200,17908
-38.1706,144.3114,18388
-27.9399,153.3144,16605
-28.0707,153.3933,23140
-34.7570,138.6082,16530
-32.3289,115.8305,37697
-31.8882,115.8719,24169
-31.8329,115.7759,15982
-31.8878,115.9099,22539
-32.0600,115.9550,23665
-31.8075,115.8660,15401
-33.9289,151.0511,20174
-34.7825,138.6108,16872
-37.6905,144.7417,17331
-33.7973,150.7847,19856
-19.3032,146.7253,21034
-37.6983,145.0597,28068
-27.6256,152.9688,22581
-27.6103,153.0539,17842
-27.5952,153.1233,15073
-37.7326,144.8650,15078
-38.1153,145.2981,24679
-38.0776,145.2987,24683
